vrecka4 (vrzena 4m),cela,sredina zlomljene,konec zlomljen,nemerljiv
,12.6,6.9,10.9,
,12.2,6,9.4,
,12.2,2.1,9.4,
,11.9,6.3,7.7,
,,5.7,6.2,
,,3.9,10.1,
,,3.1,8.2,
,,6.1,7.3,
,,5.1,7.9,
,,5.7,8.6,
,,4.3,3.8,
,,3.7,9.3,
,,4.6,12.2,
,,7.3,4.4,
,,2,7.6,
,,4.6,8,
,,3.4,6.8,
,,2.8,5.1,
,,2,4.6,
,,3.5,4.7,
,,2.8,7.6,
,,2.8,5.3,
,,2.3,9.3,
,,3.6,4.7,
,,6.8,10.7,
,,4.7,3.4,
,,2.8,6.4,
,,2.3,4.1,
,,4.3,6,
,,1.1,8.1,
,,4.7,7.1,
,,5.2,5.9,
,,3.2,3,
,,1.9,2.9,
,,3.6,3.1,
,,4.9,4.5,
,,6.1,4.9,
,,3.3,2.6,
,,2.9,6.3,
,,5.9,5.6,
,,3.1,2.2,
,,2.3,3.3,
,,3.9,3.9,
,,2.9,4.8,
,,1.7,2.8,
,,2,3.4,
,,2.8,2,
,,5.6,4.6,
,,3.4,3.3,
,,6.2,1.9,
,,4,2,
,,5.3,3.4,
,,4.3,3.5,
,,3,4.4,
,,7.2,3.2,
,,6,3.9,
,,3.7,2.2,
,,3.8,1.5,
,,3.8,3.3,
,,2.8,4.1,
,,1.9,1.3,
,,2.3,2.2,
,,4.4,3,
,,3.6,2.8,
,,5.1,2,
,,1.9,8.9,
,,4.6,6.8,
,,6.8,6,
,,2.9,2.8,
,,3.3,2.8,
,,5.8,2.6,
,,3.8,4.7,
,,2.1,4.4,
,,2,2,
,,2.7,3.2,
,,3,5.4,
,,2.7,3.6,
,,2.5,3.8,
,,1.1,3.5,
,,2.2,2.8,
,,2.4,5.8,
,,1.9,4.1,
,,4.7,2.7,
,,3.8,2.8,
,,4.1,2.4,
,,3.6,3,
,,3.4,5.4,
,,3.2,3.4,
,,6.5,1.8,
,,2.8,1.3,
,,1.9,1.6,
,,2.5,1.9,
,,2.9,4.4,
,,3.8,3.6,
,,2.6,5,
,,2.1,2.5,
,,3.9,3.6,
,,2.1,3.3,
,,2.3,2.1,
,,4.2,3.3,
,,2.2,3.2,
,,2.2,2.2,
,,0.9,2.1,
,,2.1,3.6,
,,2.1,2.2,
,,,1.2,
,,,2.2,
,,,2.4,
,,,3.3,
,,,2.7,
,,,3.8,
,,,2.2,
,,,1.6,
,,,2.9,
,,,2.5,
,,,2.8,
,,,1.7,
,,,1.5,
,,,1.8,
,,,1.9,
,,,1.6,
,,,2.1,
,,,2.8,
,,,2.7,
,,,2.2,
,,,2.3,
,,,2,
,,,3.2,
,,,2.7,
,,,2.7,
,,,1.4,
,,,2.2,
,,,1.3,
,,,2.3,
,,,2,
,,,2.4,
,,,0.6,
,,,1,
,,,1,
,,,0.6,
,,,0.5,